Ground truth,w/o FEM,w/ FEM
0.020516086,-0.186506195,0.028199631
0.021978646,-0.162111911,0.031011826
0.023528109,-0.146074252,0.034251435
0.025168229,-0.133230532,0.035456647
0.026902813,-0.092305025,0.040683578
0.028735712,-0.115851594,0.041901055
0.030670818,-0.122393399,0.044552288
0.032712049,-0.119482777,0.047441544
0.034863342,-0.111823961,0.050484134
0.037128641,-0.11403437,0.053535402
0.039511887,-0.090712792,0.054602752
0.042017002,-0.102717814,0.05740605
0.04464788,-0.074232686,0.057359726
0.04740837,-0.02364734,0.060829962
0.050302265,-0.012724101,0.062930973
0.053333282,-0.026861571,0.066551564
0.05650505,-0.047719197,0.069900909
0.059821093,-0.057669292,0.072721217
0.063284813,-0.059510753,0.076651561
0.066899468,-0.039446249,0.07795933
0.070668163,-0.03296727,0.079681053
0.074593822,0.007300042,0.085588157
0.078679176,0.000401485,0.091667626
0.082926739,0.023372298,0.096820454
0.087338794,0.042103876,0.106121431
0.091917367,0.041882675,0.107643194
0.096664213,0.060886469,0.112093488
0.101580793,0.060953498,0.118179279
0.106668257,0.087672828,0.124362098
0.111927422,0.113104149,0.129463444
0.117358755,0.093254249,0.133863946
0.122962355,0.091007326,0.138597532
0.128737933,0.113852957,0.14420933
0.134684794,0.081633378,0.146668416
0.140801824,0.081409242,0.152655139
0.14708747,0.083309575,0.158636722
0.153539729,0.074335867,0.165807997
0.16015613,0.098778068,0.172813795
0.166933723,0.155166291,0.178179614
0.173869071,0.206541046,0.186732937
0.180958233,0.216879988,0.193412006
0.188196761,0.207157685,0.201652981
0.195579692,0.198019725,0.205501286
0.203101541,0.191143973,0.211730779
0.210756299,0.183394173,0.218873955
0.218537432,0.203160468,0.22652108
0.226437878,0.23013802,0.232353766
0.234450054,0.238313664,0.238990613
0.242565857,0.245926253,0.245498895
0.250776673,0.249902009,0.252275792
0.259073381,0.248762725,0.259294902
0.267446373,0.272365321,0.266282127
0.275885557,0.257792829,0.276754094
0.284380379,0.216972644,0.285731809
0.292919841,0.230605301,0.293049172
0.301492515,0.259506829,0.300192602
0.310086572,0.277781125,0.306211775
0.318689804,0.289655985,0.313609624
0.327289649,0.276252251,0.316730827
0.335873222,0.277265382,0.324421891
0.344427344,0.295468344,0.335170139
0.352938577,0.294532635,0.340980221
0.361393254,0.309960662,0.345494557
0.369777522,0.331029487,0.351600743
0.378077373,0.337273299,0.355164711
0.386278687,0.361380899,0.361003342
0.394367274,0.375222604,0.365579356
0.402328912,0.37838934,0.370898625
0.410149391,0.372960738,0.376356722
0.417814559,0.364903461,0.379626177
0.425310364,0.38311808,0.388939977
0.432622901,0.400850199,0.392863102
0.439738453,0.4165389,0.400641659
0.446643541,0.457338909,0.409455966
0.453324966,0.488721624,0.412236234
0.459769856,0.504239498,0.417620935
0.465965708,0.540430732,0.426930105
0.471900433,0.548568644,0.433530969
0.477562398,0.525060482,0.438060227
0.482940467,0.520390605,0.439355471
0.488024042,0.539284098,0.445396459
0.492803102,0.545718779,0.449980308
0.497268238,0.564797373,0.457500379
0.501410689,0.576434435,0.462195924
0.505222376,0.57511227,0.465636509
0.508695928,0.570019074,0.467522954
0.511824718,0.558993363,0.468783278
0.514602881,0.590350844,0.470016274
0.51702534,0.599238243,0.473762594
0.519087827,0.599065706,0.473968339
0.5207869,0.572896262,0.474018389
0.522119956,0.580592025,0.474933107
0.523085242,0.584638436,0.476941044
0.523681866,0.620746187,0.476596499
0.523909797,0.608611363,0.480943786
0.523769872,0.625813242,0.479415135
0.52326379,0.636205969,0.479832448
0.522394112,0.648702988,0.47875298
0.521164248,0.685250414,0.477779098
0.519578449,0.689420885,0.478051856
0.517641795,0.681899391,0.473213453
0.515360171,0.654927681,0.471720889
0.512740257,0.631212417,0.469441991
0.509789497,0.605848214,0.464722125
0.506516075,0.605038081,0.463585631
0.502928892,0.604380234,0.461563576
0.49903753,0.611423389,0.4577067
0.494852223,0.628449014,0.452687124
0.49038382,0.631572027,0.448312694
0.485643749,0.603641019,0.447219118
0.480643979,0.592703658,0.441525398
0.475396981,0.60449874,0.438318979
0.469915685,0.579517558,0.431382996
0.464213437,0.5616,0.425120632
0.458303959,0.547113257,0.427016805
0.452201302,0.549473848,0.420535053
0.445919801,0.535600576,0.41361975
0.439474033,0.509228461,0.407769387
0.432878768,0.536766625,0.404178704
0.426148927,0.526372967,0.40427585
0.419299536,0.487099651,0.395557543
0.412345681,0.518072503,0.387066791
0.405302466,0.520770151,0.382360143
0.39818497,0.535784454,0.375978344
0.391008201,0.552167809,0.368568884
0.383787063,0.563970723,0.364847969
0.376536309,0.529297376,0.361637116
0.369270509,0.507674563,0.358059613
0.362004008,0.494522315,0.351893537
0.354750897,0.499127641,0.346505676
0.347524976,0.495359339,0.342175642
0.340339726,0.479892432,0.340159304
0.333208278,0.476371224,0.333746047
0.326143388,0.462115496,0.326481884
0.319157409,0.472753552,0.31871981
0.312262273,0.428753247,0.31662476
0.305469468,0.398773182,0.310386998
0.29879002,0.400596642,0.301883984
0.292234479,0.38372396,0.296780614
0.285812902,0.346587429,0.290020012
0.279534844,0.348605708,0.288587498
0.27340935,0.34889463,0.280801921
0.267444944,0.354162976,0.280422051
0.26164963,0.342541729,0.274751187
0.256030883,0.340677286,0.269347738
0.25059565,0.321183566,0.267614343
0.245350355,0.314778332,0.258487117
0.240300897,0.323723409,0.255902106
0.235452655,0.319607994,0.255760624
0.2308105,0.337050414,0.252699916
0.226378794,0.357813187,0.248816448
0.222161408,0.334138483,0.246002265
0.218161726,0.342073013,0.244142899
0.214382662,0.341481369,0.241124463
0.21082667,0.324798862,0.234739616
0.207495758,0.305783285,0.233733879
0.204391507,0.291232549,0.22808699
0.201515083,0.292168128,0.22442261
0.198867253,0.253628533,0.223407151
0.196448407,0.237368247,0.218722352
0.194258573,0.266605657,0.21981608
0.192297432,0.247686263,0.219745141
0.190564342,0.25123482,0.215211856
0.189058353,0.222127684,0.213684209
0.187778228,0.181301544,0.211976276
0.186722459,0.175417621,0.210169435
0.185889288,0.212520214,0.208902057
0.185276725,0.197750559,0.20595091
0.184882564,0.19385123,0.203344733
0.184704407,0.182285832,0.203139351
0.184739672,0.214906726,0.203453748
0.184985622,0.220862813,0.200160581
0.18543937,0.209259508,0.197340463
0.186097904,0.197774236,0.196542669
0.186958098,0.194403952,0.194718586
0.188016731,0.202940021,0.192854244
0.189270495,0.225765835,0.193642334
0.190716017,0.216029128,0.1969201
0.192349865,0.231663249,0.202365939
0.194168565,0.253275125,0.204364332
0.196168611,0.242036179,0.203808992
0.198346476,0.260818748,0.208898474
0.200698622,0.246923893,0.209153542
0.203221514,0.254041133,0.216036342
0.205911621,0.243483643,0.219948836
0.208765432,0.251814841,0.215848106
0.211779459,0.244358017,0.221839316
0.214950246,0.2189812,0.223975033
0.218274376,0.213471907,0.224998012
0.221748474,0.224748857,0.225655458
0.225369215,0.203238553,0.227299501
0.229133328,0.204656752,0.230596582
0.233037599,0.184960802,0.23336131
0.237078876,0.19234703,0.236429061
0.241254071,0.189066318,0.238470118
0.245560163,0.204710259,0.239292006
0.249994202,0.190950244,0.245044758
0.254553307,0.208653543,0.252173032
0.259234671,0.2192632,0.255032004
0.264035562,0.229417929,0.259219597
0.268953319,0.225815188,0.260560889
0.27398536,0.230158372,0.268131128
0.279129177,0.214518681,0.27236606
0.284382337,0.233224314,0.27888327
0.289742482,0.258554066,0.284378971
0.295207329,0.259234535,0.287040405
0.300774669,0.267381372,0.292717196
0.306442366,0.290767905,0.299366051
0.312208357,0.300058411,0.307938834
0.318070649,0.308933782,0.3140659
0.324027319,0.301489329,0.32127
0.330076513,0.296464329,0.328647183
0.336216442,0.322619271,0.334670849
0.342445383,0.319107275,0.342297288
0.348761678,0.313699591,0.345933939
0.355163728,0.313140323,0.349907611
0.361649993,0.330349342,0.357822223
0.368218991,0.344726061,0.362807448
0.374869295,0.342019349,0.36733127
0.38159953,0.342326727,0.374409882
0.388408368,0.353215666,0.382505813
0.395294531,0.338775639,0.388070036
0.402256784,0.370265163,0.392823504
0.409293929,0.362114348,0.399057405
0.416404809,0.373836974,0.404306806
0.423588298,0.409675364,0.416256815
0.430843301,0.428851337,0.428533987
0.438168747,0.436381593,0.43697621
0.445563585,0.450081124,0.444394407
0.453026783,0.457931561,0.451828899
0.460557317,0.457057477,0.4594337
0.468154172,0.456429587,0.467457933
0.475816332,0.462060536,0.473888378
0.483542774,0.465053648,0.483052994
0.491332465,0.494217811,0.493221369
0.499184353,0.503826538,0.503667462
0.507097362,0.524098181,0.51018933
0.515070381,0.526651709,0.515832707
0.523102261,0.540321622,0.52423445
0.531191803,0.572728131,0.531281229
0.539337755,0.565176523,0.537721543
0.547538795,0.567746233,0.540935695
0.555793533,0.569506122,0.549861497
0.564100491,0.592114682,0.557709437
0.572458102,0.599749242,0.563884127
0.580864695,0.618096236,0.574629596
0.58931849,0.635232146,0.582862583
0.597817582,0.622353859,0.589971835
0.606359935,0.642255692,0.59717903
0.614943373,0.653544621,0.605195373
0.623565565,0.658865601,0.610863677
0.63222402,0.654981381,0.617211081
0.640916071,0.663637676,0.625725292
0.649638871,0.675297367,0.63523186
0.658389379,0.670016787,0.647327169
0.667164354,0.692349626,0.658696069
0.67596034,0.682024577,0.665899413
0.684773664,0.680442286,0.676885546
0.693600423,0.690039449,0.684163953
0.702436476,0.693304271,0.689772015
0.711277441,0.690898974,0.696968833
0.720118682,0.690224748,0.709253454
0.728955311,0.685084468,0.718232777
0.737782175,0.700083602,0.728054574
0.746593858,0.713947282,0.737144902
0.755384673,0.676686097,0.746696393
0.764148664,0.687744082,0.750865704
0.772879604,0.693994801,0.759144292
0.781570993,0.694635916,0.768884053
0.790216062,0.702130058,0.780130589
0.798807775,0.716300658,0.787556295
0.807338834,0.729265823,0.796692516
0.81580168,0.744022076,0.806356433
0.824188506,0.781738046,0.814118849
0.832491263,0.793134752,0.824245552
0.840701668,0.799580168,0.835051711
0.848811217,0.811633629,0.844632103
0.8568112,0.826087618,0.856126874
0.86469271,0.816370078,0.8640063
0.872446663,0.792129636,0.869592898
0.880063815,0.810055382,0.882960568
0.88753478,0.808164148,0.891002627
0.894850048,0.821629945,0.895544994
0.902000011,0.805656046,0.899185626
0.908974982,0.805080153,0.904937307
0.915765221,0.802337575,0.908751424
0.92236096,0.783529656,0.912663883
0.928752428,0.79180554,0.918138283
0.93492988,0.778205889,0.92101741
0.940883623,0.786763196,0.92604035
0.946604047,0.793999795,0.932603171
0.952081654,0.818724311,0.937217078
0.957307086,0.806430945,0.943076289
0.962271158,0.810130114,0.94532736
0.966964887,0.830103958,0.949054949
0.971379523,0.831685871,0.952112062
0.975506582,0.850627963,0.956943794
0.979337871,0.854643726,0.961115119
0.982865523,0.84727265,0.968391644
0.986082026,0.865228187,0.977719173
0.988980249,0.877025213,0.980685904
